GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,ESCF,G gas,G solv,TOTAL
50,519.5145,1377.6573,-1077.3289,0.0,0.0,0.0,-1275.3236,-15935.2911,603.0445,11585.7201,-2034.8676,59.0423184,19.4825,-4202.007199999998,-1975.8252816,-6158.349981599998
51,499.791,1412.4082,-1060.1991,0.0,0.0,0.0,-1285.9831,-15977.438,584.2374,11554.8242,-1947.5571,56.96528616,9.3693,-4272.359399999999,-1890.59181384,-6153.581913839999
52,484.3192,1383.0858,-1094.3267,0.0,0.0,0.0,-1251.6388,-16057.982,619.1164,11557.0828,-1890.0105,57.11457096,7.1797,-4360.343299999999,-1832.89592904,-6186.05952904
53,500.0227,1395.1519,-1084.8696,0.0,0.0,0.0,-1259.2595,-15830.1458,587.1494,11538.0814,-2062.4835,59.36029416,12.292,-4153.869500000001,-2003.1232058399999,-6144.70070584
54,510.8802,1427.2221,-1091.9493,0.0,0.0,0.0,-1288.1082,-15991.0099,606.7944,11563.6367,-1946.2851,58.45522032,12.4253,-4262.533999999998,-1887.82987968,-6137.938579679998
55,482.6074,1378.1999,-1091.415,0.0,0.0,0.0,-1289.9746,-15866.0014,599.9094,11468.2409,-1965.9881,57.70552176,3.2676,-4318.433399999998,-1908.28257824,-6223.448378239998
56,441.9295,1414.4713,-1088.0623,0.0,0.0,0.0,-1303.7852,-15886.6392,617.3805,11588.7092,-2010.5263,57.4776216,12.1774,-4215.9962,-1953.0486784,-6156.8674783999995
57,495.4936,1412.155,-1109.6277,0.0,0.0,0.0,-1267.0781,-15732.6019,600.0571,11475.0999,-2091.9328,58.99144032,0.465,-4126.5021,-2032.94135968,-6158.97845968
58,522.5614,1367.879,-1090.3241,0.0,0.0,0.0,-1258.6709,-15872.8148,615.7362,11580.4559,-2067.7492,59.79961296,15.2179,-4135.177299999999,-2007.94958704,-6127.90898704
59,511.3882,1438.3204,-1070.8828,0.0,0.0,0.0,-1262.1708,-15894.1084,600.7739,11555.0258,-2043.8924,58.66269696,11.0678,-4121.653699999999,-1985.22970304,-6095.815603039999
60,534.2669,1375.2471,-1097.9463,0.0,0.0,0.0,-1239.1443,-15825.3747,597.3219,11571.4552,-2105.8526,60.39593927999999,10.1671,-4084.1741999999995,-2045.4566607200002,-6119.46376072
61,485.1774,1395.0542,-1065.4579,0.0,0.0,0.0,-1291.3596,-15902.0266,612.1834,11521.9638,-2008.8836,58.7345544,11.2281,-4244.4653,-1950.1490456,-6183.3862456
62,494.2819,1435.7,-1078.3477,0.0,0.0,0.0,-1275.2932,-15870.3589,603.8303,11568.1177,-2070.1548,60.51513744,17.8036,-4122.069899999999,-2009.6396625599998,-6113.905962559998
63,521.8281,1410.0313,-1080.0727,0.0,0.0,0.0,-1252.061,-15808.9955,617.9633,11507.573,-2083.9094,59.55113591999999,21.4942,-4083.7335000000003,-2024.35826408,-6086.597564080001
64,521.1852,1441.0215,-1102.2945,0.0,0.0,0.0,-1284.972,-16019.7731,594.4596,11485.4515,-1851.8454,56.75818392,12.6657,-4364.921800000002,-1795.08721608,-6147.343316080002
65,522.1184,1420.1656,-1096.1609,0.0,0.0,0.0,-1285.7809,-16021.0573,614.9998,11506.5439,-1877.5783,56.09516976,14.8784,-4339.171400000001,-1821.4831302399998,-6145.776130240001
66,534.319,1398.1421,-1088.9662,0.0,0.0,0.0,-1275.6597,-15854.5931,607.8762,11544.8919,-2037.4241,58.29042888,10.7526,-4133.989799999999,-1979.13367112,-6102.37087112
67,489.9374,1367.1877,-1100.141,0.0,0.0,0.0,-1235.5858,-15977.1988,619.8958,11525.7076,-1946.4072,60.683521680000005,17.6066,-4310.197100000001,-1885.72367832,-6178.314178320001
68,508.8554,1379.0951,-1096.9772,0.0,0.0,0.0,-1253.2036,-15783.3578,610.7415,11535.8975,-2086.2633,61.87232016,11.4012,-4098.949100000002,-2024.39097984,-6111.938879840002
69,489.7204,1459.0471,-1103.7156,0.0,0.0,0.0,-1282.2496,-15864.4714,593.6938,11522.2224,-2005.7888,58.73742288,7.9225,-4185.752900000001,-1947.05137712,-6124.881777120002
70,505.1063,1362.8474,-1096.9644,0.0,0.0,0.0,-1277.7316,-16065.799,598.2877,11597.8952,-1887.5604,56.843535599999996,11.8263,-4376.358399999999,-1830.7168644,-6195.2489644
71,501.9038,1416.4257,-1130.6719,0.0,0.0,0.0,-1285.4354,-15826.4544,604.8437,11558.7195,-2075.7177,58.61741688,9.6622,-4160.669000000002,-2017.10028312,-6168.107083120002
72,511.4562,1432.2429,-1102.3996,0.0,0.0,0.0,-1256.6881,-16019.6002,617.4687,11552.4476,-1923.0044,59.59527696000001,3.8755,-4265.0725,-1863.40912304,-6124.60612304
73,492.9637,1415.4228,-1088.3343,0.0,0.0,0.0,-1269.6075,-15957.907,587.062,11540.1407,-1941.025,57.038107679999996,16.4222,-4280.259599999999,-1883.9868923200002,-6147.824292319999
74,521.1541,1386.5169,-1084.136,0.0,0.0,0.0,-1243.4909,-15955.0095,606.9363,11556.149,-1999.81,60.47531351999999,20.536,-4211.880100000002,-1939.3346864799998,-6130.678786480002
75,496.5624,1415.968,-1096.2056,0.0,0.0,0.0,-1279.9797,-15914.2407,607.0266,11554.4521,-1997.1114,58.97302488,10.0372,-4216.4169,-1938.13837512,-6144.5180751200005
76,508.2656,1447.3922,-1052.9912,0.0,0.0,0.0,-1289.4699,-15857.79,593.1197,11575.8876,-2052.1463,58.42795752,3.3505,-4075.586000000001,-1993.7183424799998,-6065.953842480002
77,495.3307,1485.9828,-1099.4122,0.0,0.0,0.0,-1284.7802,-15965.9143,616.0316,11541.0082,-1948.1761,57.14838648,13.4917,-4211.7534,-1891.02771352,-6089.2894135199995
78,472.6298,1412.749,-1101.6341,0.0,0.0,0.0,-1289.4529,-15849.2938,610.7712,11515.8847,-2015.4985,57.51035208,9.8228,-4228.346100000001,-1957.9881479199998,-6176.51144792
79,455.7187,1417.4594,-1072.4099,0.0,0.0,0.0,-1277.0125,-15897.9824,604.1556,11525.258,-2002.6101,57.55455215999999,12.3877,-4244.813100000001,-1945.0555478400001,-6177.480947840001
80,470.9508,1467.335,-1124.2545,0.0,0.0,0.0,-1309.5973,-15761.2091,620.4137,11449.7906,-2040.8861,58.38511104,9.9346,-4186.5707999999995,-1982.5009889599999,-6159.13718896
81,503.3324,1421.1114,-1097.9783,0.0,0.0,0.0,-1270.2354,-15940.7564,594.4504,11550.0451,-2004.0634,58.40133984,11.3125,-4240.030800000002,-1945.66206016,-6174.380360160002
82,523.7349,1413.1879,-1099.6021,0.0,0.0,0.0,-1286.3212,-16041.7603,596.9047,11537.2536,-1839.9988,56.827610639999996,18.1471,-4356.602500000001,-1783.17118936,-6121.626589360001
83,491.9008,1442.418,-1102.0951,0.0,0.0,0.0,-1298.4734,-15951.9135,621.5015,11537.9786,-1960.4016,55.67816808,16.1322,-4258.683099999998,-1904.72343192,-6147.274331919998
84,494.1007,1419.8027,-1092.0137,0.0,0.0,0.0,-1290.0404,-16010.2826,609.6644,11543.1503,-1903.5889,55.59726672,19.0809,-4325.618600000002,-1847.9916332799999,-6154.529333280001
85,493.0502,1417.2951,-1120.6492,0.0,0.0,0.0,-1269.3536,-16068.6062,623.024,11591.0,-1899.9672,56.84454216,11.3653,-4334.2397,-1843.12265784,-6165.99705784
86,498.8948,1446.5304,-1117.0723,0.0,0.0,0.0,-1259.3015,-15995.2502,595.4759,11479.6567,-1872.0183,56.943396,3.5361,-4351.066200000003,-1815.074904,-6162.605004000003
87,522.1779,1411.1571,-1080.8325,0.0,0.0,0.0,-1266.4828,-15959.1253,615.5698,11569.616,-1984.1071,57.92322384,0.802,-4187.9198,-1926.18387616,-6113.30167616
88,509.4829,1409.5512,-1095.4557,0.0,0.0,0.0,-1277.6468,-15804.2627,593.7921,11578.0117,-2097.7859,59.02118136,4.3577,-4086.5272999999997,-2038.76471864,-6120.93431864
89,502.0287,1428.3187,-1092.6745,0.0,0.0,0.0,-1255.1993,-16057.5999,620.0392,11606.4902,-1891.5937,57.92909688,16.7574,-4248.5969000000005,-1833.6646031199998,-6065.50410312
90,506.0344,1372.458,-1113.2654,0.0,0.0,0.0,-1285.3427,-16079.21,614.5209,11554.5347,-1844.4438,59.012169840000006,21.2167,-4430.270099999998,-1785.43163016,-6194.485030159998
91,524.025,1416.2759,-1120.5952,0.0,0.0,0.0,-1276.7737,-15956.9865,586.5026,11510.3431,-1935.4818,57.05019216,15.911,-4317.208800000002,-1878.43160784,-6179.729407840002
92,499.444,1396.1606,-1084.4351,0.0,0.0,0.0,-1266.0987,-15994.1253,616.7765,11545.9928,-1883.9276,57.837965759999996,12.2569,-4286.285199999998,-1826.08963424,-6100.117934239998
93,492.7571,1417.0648,-1088.8918,0.0,0.0,0.0,-1276.224,-15999.7016,597.0998,11531.6179,-1886.5459,58.810143599999996,11.2187,-4326.277800000002,-1827.7357564000001,-6142.794856400002
94,513.836,1431.0352,-1096.2979,0.0,0.0,0.0,-1268.8014,-16014.2684,600.1718,11532.9712,-1877.4031,56.71965024,6.0581,-4301.353500000001,-1820.68344976,-6115.97884976
95,520.495,1416.5139,-1077.2688,0.0,0.0,0.0,-1274.9591,-16018.9259,613.1641,11604.251,-1931.7458,55.12988808,16.8556,-4216.729799999999,-1876.61591192,-6076.490111919999
96,566.9472,1393.2144,-1067.7535,0.0,0.0,0.0,-1276.8592,-16062.9047,599.1694,11579.935,-1898.9173,58.16781864,10.7869,-4268.251399999997,-1840.7494813600001,-6098.213981359997
97,486.6959,1393.6211,-1076.0133,0.0,0.0,0.0,-1247.9087,-16005.5813,614.6323,11572.1821,-1922.6975,59.495958720000004,0.9263,-4262.371900000002,-1863.20154128,-6124.647141280002
98,468.3345,1419.8024,-1089.8852,0.0,0.0,0.0,-1256.0667,-15817.3307,599.4446,11525.0422,-2062.784,59.51900664,9.9126,-4150.6589,-2003.26499336,-6144.01129336
99,488.1281,1477.8342,-1097.2248,0.0,0.0,0.0,-1284.4125,-15870.1842,588.4112,11535.7886,-2041.3016,57.436652159999994,23.8871,-4161.659399999999,-1983.86494784,-6121.637247839999
100,511.8302,1445.6051,-1089.0001,0.0,0.0,0.0,-1242.1947,-15967.9576,595.7568,11548.9272,-1964.7383,60.89386535999999,2.4683,-4197.033100000001,-1903.84443464,-6098.40923464
101,507.9455,1391.8919,-1097.5296,0.0,0.0,0.0,-1226.2514,-16118.6998,599.8122,11616.1231,-1908.1504,59.44170312,11.1028,-4326.7081,-1848.70869688,-6164.313996880001
102,500.9939,1418.0748,-1089.3608,0.0,0.0,0.0,-1238.0894,-16027.1994,589.5961,11569.1123,-1926.0594,59.096022479999995,11.6327,-4276.8724999999995,-1866.96337752,-6132.203177519999
103,484.7851,1406.9537,-1119.9757,0.0,0.0,0.0,-1263.387,-15976.4647,606.4937,11554.4409,-1954.4899,59.96345039999999,10.1947,-4307.154,-1894.5264496,-6191.485749600001
104,508.3755,1358.5249,-1083.5039,0.0,0.0,0.0,-1274.8356,-15966.6454,623.9263,11637.3824,-2027.2966,58.17104496,12.8592,-4196.775800000001,-1969.1255550399999,-6153.0421550400015
105,503.3491,1399.5045,-1074.2043,0.0,0.0,0.0,-1275.3022,-15772.0973,610.6898,11619.7493,-2175.6721,59.7851964,14.6077,-3988.311100000001,-2115.8869035999996,-6089.590303600001
106,466.6071,1395.5863,-1087.3846,0.0,0.0,0.0,-1252.5533,-15957.2035,596.672,11582.8959,-1987.8692,59.031019439999994,5.7991,-4255.3801,-1928.8381805600002,-6178.41918056
107,524.5141,1402.4776,-1084.6995,0.0,0.0,0.0,-1269.9508,-15892.7737,608.995,11561.1213,-2000.5754,57.12455592,12.0228,-4150.315999999999,-1943.45084408,-6081.744044079999
108,498.8262,1410.3149,-1105.1681,0.0,0.0,0.0,-1239.2541,-15919.0658,608.2339,11546.0869,-2012.2044,58.373046,14.5093,-4200.026100000001,-1953.8313540000001,-6139.348154000002
109,512.0836,1438.856,-1123.1147,0.0,0.0,0.0,-1234.3303,-15977.269,601.7765,11524.0514,-1958.0741,57.61751328,8.676,-4257.9465,-1900.4565867200001,-6149.7270867199995
110,477.8624,1425.6397,-1083.1025,0.0,0.0,0.0,-1306.6751,-15791.3677,614.233,11592.16,-2136.1315,59.90224464,14.0753,-4071.2502000000004,-2076.22925536,-6133.404155359999
111,494.7436,1472.9899,-1093.6735,0.0,0.0,0.0,-1265.4515,-15867.4804,596.9398,11514.1731,-2007.5296,58.93605288,11.0073,-4147.759,-1948.59354712,-6085.34524712
112,490.9493,1456.041,-1083.9365,0.0,0.0,0.0,-1273.375,-15877.3652,604.785,11527.9924,-1967.4682,58.57973352,6.1688,-4154.9090000000015,-1908.88846648,-6057.628666480001
113,504.4912,1411.2364,-1072.8656,0.0,0.0,0.0,-1255.5965,-15821.7421,591.4117,11492.3136,-2022.2847,61.67531664,5.9897,-4150.7513,-1960.60938336,-6105.37098336
114,492.7091,1430.2258,-1115.6872,0.0,0.0,0.0,-1250.9975,-15791.229,601.9348,11477.3,-2061.3414,59.045413679999996,6.9884,-4155.743999999999,-2002.2959863199999,-6151.051586319998
115,503.637,1402.8006,-1082.9197,0.0,0.0,0.0,-1263.4949,-15802.96,612.1501,11527.6905,-2067.6462,58.89001752,9.8722,-4103.096399999997,-2008.7561824800002,-6101.980382479997
116,503.2172,1390.7556,-1073.4033,0.0,0.0,0.0,-1239.3575,-15818.7407,611.7122,11570.2611,-2125.4346,59.86145592,5.8052,-4055.555400000001,-2065.57314408,-6115.323344080002
117,489.8219,1473.5921,-1095.1249,0.0,0.0,0.0,-1279.5731,-15799.7514,595.1826,11514.1086,-2039.2048,58.11003648,10.0227,-4101.744199999999,-1981.09476352,-6072.816263519998
118,534.4844,1441.6482,-1123.2973,0.0,0.0,0.0,-1227.5425,-15795.6089,592.0849,11521.8923,-2072.3195,62.07766199999999,9.2693,-4056.3389000000006,-2010.2418380000001,-6057.311438000001
119,483.1195,1406.6897,-1083.7218,0.0,0.0,0.0,-1246.0872,-15943.0133,599.112,11551.2968,-2004.4356,58.95346176,17.8737,-4232.604300000001,-1945.48213824,-6160.21273824
120,501.0708,1353.3427,-1100.579,0.0,0.0,0.0,-1246.0647,-15968.5372,616.7842,11568.3521,-1953.9686,58.41540216,12.6327,-4275.6311000000005,-1895.55319784,-6158.551597840001
121,495.7278,1416.5071,-1140.4926,0.0,0.0,0.0,-1245.4318,-15937.9067,595.8311,11540.2864,-1966.2862,59.4105948,6.0322,-4275.4787,-1906.8756052,-6176.322105200001
122,497.6563,1396.5636,-1106.5188,0.0,0.0,0.0,-1294.4035,-15935.8428,598.6182,11497.8814,-1889.3439,57.23252136,15.4404,-4346.0455999999995,-1832.11137864,-6162.716578639999
123,501.8056,1421.8861,-1101.6254,0.0,0.0,0.0,-1246.0142,-15977.6471,579.4232,11549.7952,-1940.5276,60.83193959999999,-1.3992,-4272.376600000001,-1879.6956604,-6153.471460400001
124,508.87,1420.7997,-1136.7896,0.0,0.0,0.0,-1292.1302,-15977.7405,613.6462,11552.6276,-1943.8816,58.2805692,11.643,-4310.716800000002,-1885.6010308,-6184.6748308000015
125,518.1369,1398.518,-1075.309,0.0,0.0,0.0,-1281.2265,-15870.7621,606.5274,11562.332,-2036.8624,57.35482272,14.7941,-4141.783300000001,-1979.50757728,-6106.496777280001
126,515.7488,1382.9423,-1100.0802,0.0,0.0,0.0,-1260.5022,-15919.8862,603.5046,11566.0763,-2010.8693,58.81873968,13.1554,-4212.196599999999,-1952.0505603200002,-6151.09176032
127,521.6253,1443.4252,-1101.4853,0.0,0.0,0.0,-1256.2266,-15714.8341,597.3472,11510.9767,-2190.0166,61.932274559999996,14.0285,-3999.1716000000015,-2128.0843254399997,-6113.227425440001
128,479.1538,1436.0986,-1094.9286,0.0,0.0,0.0,-1282.8178,-15919.6735,603.028,11599.8776,-2038.9116,57.570392160000004,13.901,-4179.261900000001,-1981.34120784,-6146.702107840001
129,524.2,1418.7706,-1093.4376,0.0,0.0,0.0,-1283.0467,-15785.8261,614.3322,11493.4353,-2076.7417,59.54774327999999,1.4404,-4111.5723,-2017.19395672,-6127.32585672
130,540.2344,1366.4669,-1085.546,0.0,0.0,0.0,-1257.8581,-15802.6662,582.6996,11578.4345,-2092.5997,58.21112736,8.3064,-4078.2348999999995,-2034.3885726400001,-6104.317072639999
131,531.7215,1418.1814,-1089.5003,0.0,0.0,0.0,-1273.4387,-15892.0274,601.9749,11566.4025,-2036.9505,56.352129119999994,11.4523,-4136.686100000001,-1980.59837088,-6105.83217088
132,504.3707,1429.3862,-1081.2425,0.0,0.0,0.0,-1253.535,-15907.1037,596.3002,11531.2218,-2001.4321,60.683056560000004,13.2063,-4180.6023000000005,-1940.74904344,-6108.14504344
133,543.1847,1353.26,-1097.3018,0.0,0.0,0.0,-1279.9929,-15945.5781,597.7564,11575.9414,-1975.0272,58.21420824,9.7641,-4252.730300000001,-1916.81299176,-6159.779191760002
134,497.9234,1446.4353,-1100.3155,0.0,0.0,0.0,-1271.6748,-15778.4569,608.9664,11503.0299,-2069.3556,58.24100232,13.2639,-4094.092199999999,-2011.1145976799999,-6091.942897679999
135,501.5594,1487.0341,-1091.436,0.0,0.0,0.0,-1249.2158,-15888.5634,595.2139,11560.5126,-2040.6869,58.7009304,9.3608,-4084.895199999999,-1981.9859695999999,-6057.520369599998
