POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
26,514.7647,1468.8726,-1075.4949,0.0,0.0,0.0,-1277.1378,-15921.1094,590.7938,11757.8522,-2091.4454,1250.6628,-753.3771,-3941.4588000000003,-1594.1597000000002,-5535.6185000000005
27,482.2617,1427.5084,-1101.159,0.0,0.0,0.0,-1275.014,-16051.952,593.6856,11736.2794,-1939.8361,1241.0096,-748.5996,-4188.389899999998,-1447.4261,-5635.815999999999
28,484.2642,1434.6895,-1092.1931,0.0,0.0,0.0,-1277.5327,-16009.8847,601.1738,11717.6365,-2005.7712,1224.2642,-737.7774,-4141.8465,-1519.2843999999998,-5661.130899999999
29,491.4688,1412.7394,-1086.5532,0.0,0.0,0.0,-1268.9132,-16117.2506,619.4229,11873.854,-2017.2911,1237.5698,-749.3465,-4075.2319000000007,-1529.0677999999998,-5604.2997000000005
30,500.9798,1438.3183,-1062.4672,0.0,0.0,0.0,-1258.9652,-16015.9445,602.7394,11814.2844,-2054.659,1253.2521,-755.2338,-3981.0549999999985,-1556.6407000000002,-5537.695699999998
31,513.245,1467.7489,-1057.4918,0.0,0.0,0.0,-1263.0198,-16039.9907,600.0316,11764.6333,-2015.8245,1242.6114,-750.6444,-4014.843500000001,-1523.8575,-5538.701000000001
32,521.4425,1352.4967,-1089.0603,0.0,0.0,0.0,-1301.4901,-16155.7534,608.4776,11812.9744,-1940.488,1241.4585,-746.0157,-4250.9126000000015,-1445.0452,-5695.957800000002
33,515.2071,1423.8713,-1095.2237,0.0,0.0,0.0,-1267.0579,-16103.3961,607.8384,11736.3817,-1949.3918,1234.5978,-746.5893,-4182.379200000001,-1461.3833,-5643.762500000001
34,519.9747,1430.8088,-1063.722,0.0,0.0,0.0,-1282.4504,-15978.081,620.4477,11793.1791,-2064.5814,1238.9259,-741.4571,-3959.8431,-1567.1126,-5526.9556999999995
35,543.6562,1386.9175,-1058.8815,0.0,0.0,0.0,-1291.0555,-16031.0625,594.983,11735.0244,-1979.3483,1235.9444,-736.3118,-4120.4184000000005,-1479.7157,-5600.134099999999
36,498.5541,1456.6983,-1087.1895,0.0,0.0,0.0,-1288.1623,-16127.8171,584.5895,11652.6939,-1841.2476,1225.3368,-731.1781,-4310.633099999999,-1347.0888999999997,-5657.721999999999
37,547.2325,1435.3926,-1122.4932,0.0,0.0,0.0,-1283.4274,-16060.9109,591.9122,11758.6739,-1971.1958,1232.4574,-743.7739,-4133.620300000002,-1482.5122999999999,-5616.132600000002
38,513.4331,1414.5536,-1069.2989,0.0,0.0,0.0,-1298.7454,-16152.3127,617.659,11792.0006,-1963.6673,1231.3753,-740.6183,-4182.710700000003,-1472.9103,-5655.621000000004
39,522.4824,1422.4038,-1078.1891,0.0,0.0,0.0,-1272.0469,-16039.0342,607.066,11782.2907,-2042.066,1232.0227,-732.7496,-4055.0273000000016,-1542.7929,-5597.820200000001
40,507.0165,1421.359,-1118.6294,0.0,0.0,0.0,-1288.1131,-16159.1326,601.5392,11774.0924,-1917.9229,1228.6774,-731.2074,-4261.868000000004,-1420.4529,-5682.320900000003
41,534.481,1414.3032,-1082.6359,0.0,0.0,0.0,-1286.6781,-16157.7395,596.1658,11804.3368,-1938.6318,1237.1304,-741.4004,-4177.7667,-1442.9018,-5620.6685
42,484.13,1434.0273,-1111.561,0.0,0.0,0.0,-1246.2977,-16062.1165,606.4539,11795.7289,-2057.0739,1248.4609,-754.3946,-4099.635100000001,-1563.0076,-5662.6427
43,520.1913,1429.4995,-1075.7243,0.0,0.0,0.0,-1292.4374,-16136.3663,604.8799,11803.4801,-1957.4936,1234.4041,-738.1656,-4146.477200000001,-1461.2551,-5607.7323000000015
44,497.438,1423.4505,-1051.4126,0.0,0.0,0.0,-1291.364,-16015.8718,597.0867,11767.9921,-2013.6658,1239.6346,-741.9445,-4072.6811000000016,-1515.9757,-5588.656800000001
45,504.1104,1390.1574,-1104.2034,0.0,0.0,0.0,-1236.6975,-16126.2017,628.4636,11805.4866,-1993.2159,1239.7055,-754.1212,-4138.884600000001,-1507.6316,-5646.516200000002
46,526.0112,1453.8621,-1100.5249,0.0,0.0,0.0,-1276.3313,-16170.0342,610.3471,11729.8854,-1891.4157,1230.35,-737.9688,-4226.784600000003,-1399.0345000000002,-5625.8191000000015
47,524.3761,1397.397,-1067.5023,0.0,0.0,0.0,-1286.3225,-16095.9435,621.6229,11768.2556,-1994.3727,1240.0646,-754.9725,-4138.1167000000005,-1509.2806,-5647.3973000000005
48,529.6479,1388.9365,-1092.042,0.0,0.0,0.0,-1241.2417,-16157.8598,601.636,11805.2125,-1968.7701,1238.9684,-744.3462,-4165.7105999999985,-1474.1479,-5639.8584999999985
49,517.8066,1448.8603,-1098.7949,0.0,0.0,0.0,-1257.7311,-15957.5768,610.3736,11696.6821,-2060.9774,1241.6333,-755.1348,-4040.3801999999996,-1574.4789000000003,-5614.8591
50,528.0716,1394.6882,-1081.1703,0.0,0.0,0.0,-1277.2565,-16107.3722,607.9952,11809.1207,-2032.9073,1240.5088,-748.5775,-4125.9233,-1540.976,-5666.8993
51,503.4789,1424.6567,-1062.9602,0.0,0.0,0.0,-1288.6872,-16159.1846,587.6426,11785.764,-1955.0089,1233.7095,-740.1573,-4209.289800000002,-1461.4567000000002,-5670.746500000002
52,489.3143,1391.5285,-1096.4578,0.0,0.0,0.0,-1254.0717,-16241.4541,623.709,11792.1775,-1882.4012,1225.5022,-733.2383,-4295.2543000000005,-1390.1373,-5685.391600000001
53,507.6103,1406.0748,-1088.1481,0.0,0.0,0.0,-1261.8018,-16006.5752,592.1737,11769.6145,-2039.3783,1250.8896,-753.4863,-4081.051800000001,-1541.9750000000001,-5623.0268000000015
54,515.8603,1437.9376,-1096.3373,0.0,0.0,0.0,-1289.1532,-16171.5113,613.287,11795.2626,-1945.8266,1240.7734,-751.3991,-4194.6543,-1456.4523,-5651.1066
55,485.3899,1387.143,-1093.7505,0.0,0.0,0.0,-1292.6522,-16047.7553,604.3127,11702.6928,-1959.4034,1237.3099,-749.1728,-4254.6196,-1471.2663,-5725.8859
56,447.3476,1421.9121,-1089.9591,0.0,0.0,0.0,-1305.4503,-16071.9518,621.2884,11819.185,-1982.8734,1227.756,-740.2694,-4157.628100000002,-1495.3867999999998,-5653.014900000002
57,502.8971,1424.0566,-1113.0608,0.0,0.0,0.0,-1268.6249,-15926.8256,604.7095,11702.3949,-2080.7887,1247.3128,-761.7864,-4074.4532,-1595.2623,-5669.7155
58,525.4159,1384.1627,-1092.0094,0.0,0.0,0.0,-1260.9245,-16041.5298,621.2833,11807.7947,-2058.193,1242.1105,-755.8942,-4055.8071,-1571.9767000000002,-5627.7838
59,515.6721,1447.0916,-1073.3239,0.0,0.0,0.0,-1264.9124,-16077.3992,604.7571,11785.7394,-2023.9999,1238.2219,-750.1431,-4062.3752999999997,-1535.9211,-5598.2964
60,538.2618,1389.0439,-1100.4925,0.0,0.0,0.0,-1241.7824,-16004.0655,602.1429,11797.2714,-2081.9647,1252.515,-761.0585,-4019.6204,-1590.5081999999998,-5610.1286
61,491.1202,1405.208,-1067.9419,0.0,0.0,0.0,-1294.0219,-16085.3125,615.9407,11751.4595,-2005.953,1238.7463,-748.334,-4183.547900000001,-1515.5407,-5699.088600000001
62,500.7902,1448.4929,-1082.4559,0.0,0.0,0.0,-1277.2404,-16047.3536,607.6216,11796.4821,-2087.3663,1246.5331,-762.5013,-4053.6631000000016,-1603.3345,-5656.997600000001
63,527.785,1428.2926,-1084.5044,0.0,0.0,0.0,-1254.3188,-15983.2714,622.8744,11730.4373,-2094.5133,1237.1871,-753.613,-4012.7052999999996,-1610.9392,-5623.6445
64,527.2647,1453.0104,-1104.9132,0.0,0.0,0.0,-1287.3953,-16203.0551,598.8188,11714.9168,-1844.6816,1231.2052,-738.2086,-4301.352899999996,-1351.685,-5653.037899999996
65,528.9576,1430.64,-1098.7906,0.0,0.0,0.0,-1288.2527,-16208.8742,620.8493,11738.7742,-1862.885,1224.7603,-734.751,-4276.696399999999,-1372.8757,-5649.572099999999
66,539.622,1413.2057,-1091.6162,0.0,0.0,0.0,-1277.8095,-16032.2225,611.6779,11771.1048,-2031.6775,1236.4831,-750.0253,-4066.037800000002,-1545.2197,-5611.257500000002
67,495.246,1378.1024,-1101.73,0.0,0.0,0.0,-1238.2728,-16157.3147,624.4103,11753.62,-1942.5079,1247.2135,-766.6799,-4245.938800000002,-1461.9742999999999,-5707.9131000000025
68,513.4566,1388.7495,-1097.2284,0.0,0.0,0.0,-1255.6192,-15960.8427,615.2126,11766.9868,-2105.2095,1258.8276,-775.968,-4029.2847999999976,-1622.3498999999997,-5651.634699999998
69,493.4645,1466.9937,-1104.9266,0.0,0.0,0.0,-1284.845,-16049.4485,597.5291,11756.9135,-1980.3,1241.7562,-747.7664,-4124.319300000001,-1486.3102,-5610.629500000001
70,509.7351,1375.3019,-1099.2392,0.0,0.0,0.0,-1279.7909,-16246.6128,602.6378,11824.9969,-1849.1988,1231.6541,-740.7154,-4312.971200000002,-1358.2601,-5671.231300000002
71,506.7371,1427.8385,-1132.767,0.0,0.0,0.0,-1287.5935,-16008.2505,609.4712,11788.2434,-2070.9419,1243.5517,-753.0134,-4096.320800000001,-1580.4035999999999,-5676.724400000001
72,512.9201,1445.0225,-1106.4122,0.0,0.0,0.0,-1258.9632,-16200.8097,621.3293,11778.8508,-1929.4763,1241.8223,-753.2789,-4208.062400000001,-1440.9329,-5648.995300000001
73,497.9009,1428.6374,-1089.2413,0.0,0.0,0.0,-1272.1156,-16133.0948,591.3709,11768.3014,-1940.0021,1233.7615,-750.4191,-4208.241100000001,-1456.6596999999997,-5664.9008
74,526.6596,1400.2554,-1085.2765,0.0,0.0,0.0,-1245.7975,-16135.8589,611.5038,11790.7378,-1991.0739,1244.043,-754.1744,-4137.776299999998,-1501.2053,-5638.981599999998
75,502.5127,1426.6439,-1096.8358,0.0,0.0,0.0,-1282.6842,-16106.1782,611.0887,11786.4884,-2001.0544,1239.9796,-747.958,-4158.9645,-1509.0328,-5667.9973
76,512.6324,1456.6283,-1052.769,0.0,0.0,0.0,-1290.2889,-16041.5277,597.5178,11804.9802,-2028.4884,1236.6484,-741.0776,-4012.8269,-1532.9175999999998,-5545.7445
77,499.5273,1498.5885,-1102.3062,0.0,0.0,0.0,-1287.4428,-16151.9723,620.1978,11774.7497,-1935.9744,1230.1563,-739.5304,-4148.657999999998,-1445.3485,-5594.006499999998
78,476.1084,1427.8396,-1104.5157,0.0,0.0,0.0,-1291.1528,-16029.4822,616.093,11746.6786,-1999.6796,1234.2718,-744.9426,-4158.431100000002,-1510.3503999999998,-5668.781500000001
79,461.3409,1429.258,-1074.5685,0.0,0.0,0.0,-1279.4855,-16078.7391,608.7623,11750.6238,-1979.8313,1232.4526,-738.7475,-4182.808100000002,-1486.1262,-5668.934300000001
80,473.5469,1477.2217,-1126.6741,0.0,0.0,0.0,-1312.3441,-15946.7341,624.5211,11683.5414,-2036.3374,1238.5101,-742.2064,-4126.921200000001,-1540.0337,-5666.9549000000015
81,506.4625,1433.0816,-1099.2247,0.0,0.0,0.0,-1271.6676,-16122.5489,598.3519,11780.9447,-1982.8435,1237.5793,-746.1139,-4174.600499999999,-1491.3781,-5665.978599999999
82,529.7228,1424.4075,-1100.0932,0.0,0.0,0.0,-1288.8169,-16221.3909,600.9377,11765.182,-1828.5255,1228.838,-735.9388,-4290.050999999998,-1335.6263,-5625.677299999998
83,498.6247,1455.3975,-1102.9234,0.0,0.0,0.0,-1300.9987,-16133.8138,624.7188,11770.266,-1946.422,1223.3334,-733.3765,-4188.7289,-1456.4651,-5645.194000000001
84,500.7264,1431.1563,-1093.6339,0.0,0.0,0.0,-1292.0685,-16190.6887,613.9324,11775.5655,-1888.5483,1221.0134,-733.516,-4255.0104999999985,-1401.0508999999997,-5656.061399999999
85,498.1021,1428.792,-1120.4893,0.0,0.0,0.0,-1271.972,-16242.7713,626.9715,11816.6005,-1881.2335,1225.4171,-740.5291,-4264.7665000000015,-1396.3455000000001,-5661.112000000002
86,501.9223,1464.019,-1119.9743,0.0,0.0,0.0,-1261.7933,-16176.6212,599.6474,11713.5794,-1879.0446,1225.6439,-743.117,-4279.220699999998,-1396.5176999999999,-5675.738399999998
87,527.509,1423.1539,-1081.0052,0.0,0.0,0.0,-1269.1715,-16154.416,619.4747,11800.6512,-1967.0647,1235.8499,-738.7804,-4133.803899999997,-1469.9951999999998,-5603.7990999999965
88,513.2397,1419.387,-1096.6889,0.0,0.0,0.0,-1280.0482,-15988.9695,597.5131,11808.2666,-2066.8641,1241.8885,-751.9479,-4027.3001999999997,-1576.9234999999999,-5604.2237
89,512.3382,1442.6009,-1094.9626,0.0,0.0,0.0,-1257.8913,-16233.7992,623.6871,11836.142,-1883.3368,1232.051,-748.5239,-4171.884900000001,-1399.8097000000002,-5571.694600000001
90,509.801,1393.7407,-1112.2352,0.0,0.0,0.0,-1287.9377,-16256.2081,620.3039,11784.7865,-1843.2077,1234.0072,-746.526,-4347.748899999999,-1355.7264999999998,-5703.475399999998
91,527.1698,1431.0645,-1122.4347,0.0,0.0,0.0,-1278.7524,-16130.0187,590.6407,11737.6118,-1906.6135,1229.4948,-731.8015,-4244.718999999999,-1408.9202,-5653.639199999998
92,504.2738,1410.2307,-1088.8179,0.0,0.0,0.0,-1268.1855,-16176.0312,622.265,11770.5934,-1839.0871,1236.3177,-744.2822,-4225.671700000001,-1347.0515999999998,-5572.7233
93,498.7079,1428.0254,-1087.4431,0.0,0.0,0.0,-1278.7746,-16182.8253,600.343,11761.4648,-1868.5241,1241.2411,-748.3447,-4260.501900000001,-1375.6277,-5636.129600000001
94,520.5677,1444.8912,-1098.4233,0.0,0.0,0.0,-1271.6045,-16195.5086,604.0169,11760.6974,-1861.8632,1236.2137,-742.8085,-4235.3632,-1368.458,-5603.821199999999
95,529.5189,1430.0309,-1081.1303,0.0,0.0,0.0,-1277.4828,-16200.0167,617.2279,11833.5576,-1913.3043,1222.9554,-733.0613,-4148.294500000002,-1423.4101999999998,-5571.704700000002
