GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,501.9401,1403.9122,-1081.1929,0.0,0.0,0.0,-1254.2882,-16352.9203,635.9566,11787.5406,-1883.5459,54.38654784,-4359.0519,-1829.15935216,-6188.21125216
1,482.1754,1442.3494,-1114.5088,0.0,0.0,0.0,-1263.1244,-16260.4843,603.905,11755.3387,-1915.0823,54.58563144,-4354.349,-1860.49666856,-6214.84566856
2,494.159,1403.5732,-1063.9642,0.0,0.0,0.0,-1268.5332,-16159.6435,607.0863,11759.903,-2054.6001,56.126741759999994,-4227.419399999999,-1998.4733582400002,-6225.892758239998
3,516.8913,1440.987,-1092.5484,0.0,0.0,0.0,-1321.3898,-16078.8765,606.698,11742.6144,-2097.6588,55.41934248,-4185.623999999998,-2042.23945752,-6227.8634575199985
4,478.8269,1361.0193,-1082.4865,0.0,0.0,0.0,-1283.3455,-16070.6787,614.7685,11827.2297,-2174.3045,58.037397840000004,-4154.666299999999,-2116.2671021600004,-6270.933402159999
5,524.4324,1396.6821,-1082.0568,0.0,0.0,0.0,-1292.0417,-16035.5157,605.8816,11806.919,-2183.0267,58.8440664,-4075.6991,-2124.1826336,-6199.8817336
6,493.5465,1417.4573,-1122.1352,0.0,0.0,0.0,-1274.1875,-16198.8794,625.1002,11813.0256,-2026.9223,56.72715336,-4246.072499999998,-1970.1951466399998,-6216.267646639999
7,530.5827,1383.2782,-1111.8866,0.0,0.0,0.0,-1286.1308,-16072.7757,605.8735,11755.6425,-2101.2052,56.907957599999996,-4195.4162,-2044.2972424,-6239.7134424
8,509.3926,1414.4019,-1088.8771,0.0,0.0,0.0,-1268.1679,-16179.4059,616.0729,11757.2728,-2023.6042,57.818275199999995,-4239.3107,-1965.7859248,-6205.0966247999995
9,540.8299,1389.79,-1107.7594,0.0,0.0,0.0,-1290.3526,-16038.6384,600.0036,11787.5814,-2154.3814,56.52109728,-4118.5455,-2097.86030272,-6216.405802720001
