#Frame       chi1:121     chi2:121
       1      75.8248      98.0477
       2      77.4596      87.4637
       3      68.0925     109.8847
       4      60.5216      96.6650
       5      77.2388     104.4298
       6      60.1932     102.8448
       7      70.1391      92.3214
       8      63.9120      97.2620
       9      59.6187      93.7926
      10      68.3890      86.6968
      11      74.3069      92.4335
      12      72.8546     101.2112
      13      78.9674      98.9154
      14      60.8825      92.5732
      15      77.7130     100.6364
      16      60.9335     112.1141
      17      72.9972     102.2222
      18      61.3589      96.5838
      19      72.7981     101.1075
      20      68.6237     101.1316
      21      79.7479      77.5158
      22      71.4204     100.8176
      23      64.3061     105.6507
      24      66.5720      91.6717
      25      58.9167      90.3998
      26      61.3623     101.2634
      27      80.9741      88.4640
      28      67.8248      90.3205
      29      83.6950      85.2608
      30      61.6097     116.5835
      31      61.9356     100.7968
      32      77.0722      85.4442
      33      71.4107      89.4917
      34      73.6965      96.9508
      35      84.1017      96.9724
      36      60.7818      92.9979
      37      70.4733      96.6339
      38      60.0457     102.8993
      39      70.2327      88.7784
      40      56.8095     108.2752
      41      75.2961      92.7312
      42      56.7342     103.4566
      43      62.6187      90.3393
      44      55.5466     105.3521
      45      70.5657      84.2668
      46      61.4842      97.7467
      47      73.7016      92.1034
      48      65.0483      98.5695
      49      74.4928      93.5739
      50      62.7135     100.2801
      51      78.2122      93.4889
      52      67.7350      96.8717
      53      69.7181     107.7891
      54      75.9005      86.8962
      55      53.8258      83.4336
      56      65.4037      92.2446
      57      61.7135      87.9227
      58      76.5515      88.0178
      59      61.7120     101.1508
      60      69.8191      93.2056
      61      75.3002      97.4686
      62      67.3276      88.5612
      63      56.2536      94.2661
      64      67.1685      86.9378
      65      53.9703     105.6129
      66      77.3256     107.5246
      67      66.0287      96.3014
      68      84.9083     101.8574
      69      65.9443     103.0296
      70      73.2968      87.6075
      71      42.1066      97.7508
      72      56.2122      94.7788
      73      54.1183     104.2377
      74      75.9864      91.8554
      75      67.3976      94.0801
      76      75.6004      92.3602
      77      64.5733     101.4081
      78      70.7756     107.5090
      79      70.2674     100.8256
      80      73.1649      97.6232
      81      70.0625      89.5532
      82      76.6341      87.1013
      83      71.5211     100.9426
      84      69.9912      96.0205
      85      59.7020     100.0635
      86      63.4336      95.6549
      87      83.2839      86.0878
      88      76.5675      96.3927
      89      69.6114      80.8839
      90      85.2051      95.1332
      91     100.9114      78.8129
      92      76.2787     103.3357
      93      66.9843      93.4797
      94      81.7288      98.8985
      95      78.2977      96.8327
      96      71.5176      95.2102
      97      71.6945     105.2852
      98      85.9781      92.1020
      99      66.1021     103.1372
     100      74.6791      99.1885
     101      67.5595      96.8761
     102      41.0078      89.7295
     103      59.7843      98.5893
     104      87.8316     105.4512
     105      66.2532      88.0675
     106      56.6323     106.9551
     107      52.5699      98.8586
     108      74.4592      89.0139
     109      77.8567      94.8222
     110      77.8350      99.9391
     111      70.9838      92.9551
     112      70.3737      98.9563
     113      84.6428      82.8878
     114      68.8159      85.8433
     115      79.7695      91.7832
     116      85.0285      92.1769
     117      80.1748     102.9032
     118      73.3457     103.6431
     119      64.3338      95.4812
     120      73.4957     101.2243
     121      76.9671      89.5606
     122      75.7483      95.7093
     123      65.9762      95.8134
     124      87.4005      86.3156
     125      59.5662      92.9209
     126      60.0109     103.1462
     127      71.6170      95.8618
     128      55.2376      84.8068
     129      74.3836      82.6619
     130      81.4583      93.6010
     131      71.4231      98.7870
     132      61.8817      99.1403
     133      78.2308      93.7927
     134      77.1169     104.5388
     135      70.8132      93.9122
     136      63.2162      97.5300
     137      80.8173      96.6421
     138      90.1859      93.7075
     139      77.5398     106.6177
     140      66.5567     101.2076
     141      65.8846      91.3606
     142      64.7582     101.9063
     143      45.7014     104.3714
     144      66.7667      93.6926
     145      80.2467      90.9135
     146      81.6117      81.6767
